,id,title,poster_path,backdrop_path
41,121,The Lord of the Rings: The Two Towers,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,/6G73mNyooWAEQTpckPSnFxFoNmc.jpg
42,1891,The Empire Strikes Back,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg
43,378064,A Silent Voice: The Movie,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg
44,244786,Whiplash,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,/vNXGrknx4GjWLgmuNTftWZluIUl.jpg
45,423,The Pianist,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,/dVr11o9or7AS8AMPfwjSpEU83iU.jpg
46,569094,Spider-Man: Across the Spider-Verse,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,/9xfDWXAUbFXQK585JvByT5pEAhe.jpg
47,14537,Harakiri,/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg
48,807,Se7en,/6yoghtyTpznpBik8EngEmJskVUO.jpg,/iwgl8zlrrfvfWp9k9Paj8lvFEvS.jpg
49,27205,Inception,/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg
50,820067,The Quintessential Quintuplets Movie,/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg
51,567,Rear Window,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,/zGs5tZOlvc9cprdcU6kDOVNpujf.jpg
52,274,The Silence of the Lambs,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg
53,73,American History X,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,/9LSsSPbP715XT9B7acIZzantPyX.jpg
54,92321,Hotarubi no Mori e,/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg
55,128,Princess Mononoke,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,/sXV0NVLtyEsOdaEXnMcRGwUhIi0.jpg
